gene	subtype	type
gi|927928807|gb|ALE32149.1|	aminoglycoside__AAC(3)-Ia	aminoglycoside
HM036080.1.gene1.p01	aminoglycoside__AAC(3)-Ia	aminoglycoside
U12338.3.gene5.p01	aminoglycoside__AAC(3)-Ia	aminoglycoside
gb|AAG15269.1|ARO:3002528|AAC(3)-Ia	aminoglycoside__AAC(3)-Ia	aminoglycoside
gi|504869973|ref|WP_015057075.1|	aminoglycoside__AAC(3)-Ib	aminoglycoside
gi|695737392|ref|WP_032663836.1|	aminoglycoside__AAC(3)-Ib	aminoglycoside
L06157.1.gene1.p01	aminoglycoside__AAC(3)-Ib	aminoglycoside
AF355189.1.gene2.p01	aminoglycoside__AAC(3)-Ib/AAC(6')-Ib''	aminoglycoside
AJ511268.1.gene3.p01	aminoglycoside__AAC(3)-Ic	aminoglycoside
gi|489247580|ref|WP_003155734.1|	aminoglycoside__AAC(3)-Id	aminoglycoside
gi|639206639|ref|WP_024544906.1|	aminoglycoside__AAC(3)-Id	aminoglycoside
gi|746038505|ref|WP_039110078.1|	aminoglycoside__AAC(3)-Id	aminoglycoside
AY463797.7.gene13.p01	aminoglycoside__AAC(3)-Id	aminoglycoside
X13543.1.gene1.p1	aminoglycoside__AAC(3)-IIa	aminoglycoside
M97172.1.gene1.p01	aminoglycoside__AAC(3)-IIb	aminoglycoside
X54723.1.gene1.p01	aminoglycoside__AAC(3)-IIc	aminoglycoside
AAA19915	aminoglycoside__AAC(3)-IId	aminoglycoside
JE0138	aminoglycoside__AAC(3)-IId	aminoglycoside
YP_001966247	aminoglycoside__AAC(3)-IId	aminoglycoside
AAB20442	aminoglycoside__AAC(3)-IIe	aminoglycoside
AAN34370	aminoglycoside__AAC(3)-IIe	aminoglycoside
ACI02996	aminoglycoside__AAC(3)-IIe	aminoglycoside
gi|690685601|ref|WP_031944095.1|	aminoglycoside__AAC(3)-IIe	aminoglycoside
gb|ABS70978.1|ARO:3004621|AAC(3)-IIe	aminoglycoside__AAC(3)-IIe	aminoglycoside
X55652.1.gene2.p01	aminoglycoside__AAC(3)-IIIa	aminoglycoside
gb|KSC15183.1|ARO:3002537|AAC(3)-IIIb	aminoglycoside__AAC(3)-IIIb	aminoglycoside
gb|AAA25683.1|ARO:3002538|AAC(3)-IIIc	aminoglycoside__AAC(3)-IIIc	aminoglycoside
ABB43029	aminoglycoside__AAC(3)-IV	aminoglycoside
AY216678.1.gene1.p01	aminoglycoside__AAC(3)-IV	aminoglycoside
gi|446015186|ref|WP_000093041.1|	aminoglycoside__AAC(3)-IV	aminoglycoside
X01385.gene.p01	aminoglycoside__AAC(3)-IV	aminoglycoside
M55427.1.gene1.p01	aminoglycoside__AAC(3)-IXa	aminoglycoside
NC_009838.1.5616796.p01	aminoglycoside__AAC(3)-VIa	aminoglycoside
M88012.1.gene2.p01	aminoglycoside__AAC(3)-VIa	aminoglycoside
M22999.1.gene2.p01	aminoglycoside__AAC(3)-VIIa	aminoglycoside
CAF33325	aminoglycoside__AAC(3)-VIIIa	aminoglycoside
CAG34024	aminoglycoside__AAC(3)-VIIIa	aminoglycoside
CAH58703	aminoglycoside__AAC(3)-VIIIa	aminoglycoside
M55426.1.gene1.p01	aminoglycoside__AAC(3)-VIIIa	aminoglycoside
AB028210.1.gene2.p01	aminoglycoside__AAC(3)-Xa	aminoglycoside
gb|WP_064190968.1|ARO:3002583|AAC(6')-29a	aminoglycoside__AAC(6')-29a	aminoglycoside
gb|WP_064190969.1|ARO:3002584|AAC(6')-29b	aminoglycoside__AAC(6')-29b	aminoglycoside
AJ584652.2.gene5.p01	aminoglycoside__AAC(6')-30/AAC(6')-Ib' fusion protein	aminoglycoside
AM283489.1.gene3.p01	aminoglycoside__AAC(6')-31	aminoglycoside
AM283490.1.gene4.p01	aminoglycoside__AAC(6')-31	aminoglycoside
gi|939369456|ref|WP_054914207.1|	aminoglycoside__AAC(6')-31	aminoglycoside
gi|950181216|ref|WP_057228652.1|	aminoglycoside__AAC(6')-31	aminoglycoside
gi|950228232|ref|WP_057272322.1|	aminoglycoside__AAC(6')-31	aminoglycoside
gi|959688383|ref|WP_058124867.1|	aminoglycoside__AAC(6')-31	aminoglycoside
EF614235.1.gene3.p01	aminoglycoside__AAC(6')-32	aminoglycoside
JN596280.1.gene2.p01	aminoglycoside__AAC(6')-33	aminoglycoside
gb|APB03223.1|ARO:3003989|AAC(6')-34	aminoglycoside__AAC(6')-34	aminoglycoside
AY289608.1.gene3.p01	aminoglycoside__AAC(6')-I30	aminoglycoside
AAG45714	aminoglycoside__AAC(6')-Ia	aminoglycoside
AB061794.1.gene2.p01	aminoglycoside__AAC(6')-Ia	aminoglycoside
gb|AAL20537.1|ARO:3002571|AAC(6')-Iaa	aminoglycoside__AAC(6')-Iaa	aminoglycoside
AB119105.1.gene1.p01	aminoglycoside__AAC(6')-Iad	aminoglycoside
AB104852.1.gene3.p01	aminoglycoside__AAC(6')-Iae	aminoglycoside
AB462903.1.gene2.p01	aminoglycoside__AAC(6')-Iaf	aminoglycoside
gb|BAN78519.1|ARO:3004638|AAC(6')-Iag	aminoglycoside__AAC(6')-Iag	aminoglycoside
EU886977.1.gene2.p01	aminoglycoside__AAC(6')-Iai	aminoglycoside
gb|BAM46120.1|ARO:3003677|AAC(6')-Iaj	aminoglycoside__AAC(6')-Iaj	aminoglycoside
gb|BAO21229.1|ARO:3003199|AAC(6')-Iak	aminoglycoside__AAC(6')-Iak	aminoglycoside
gb|BAQ22025.1|ARO:3003200|AAC(6')-Ian	aminoglycoside__AAC(6')-Ian	aminoglycoside
JQ808129.1.gene1.p01	aminoglycoside__AAC(6')-Ib	aminoglycoside
gb|AAT74613.1|ARO:3003676|AAC(6')-Ib'	aminoglycoside__AAC(6')-Ib'	aminoglycoside
ABC54722	aminoglycoside__AAC(6')-Ib10	aminoglycoside
M23634.1.gene1.p1	aminoglycoside__AAC(6')-Ib10	aminoglycoside
U59183.1.gene2.p01	aminoglycoside__AAC(6')-Ib10	aminoglycoside
AY136758.1.gene3.p01	aminoglycoside__AAC(6')-Ib11	aminoglycoside
AF318077.1.gene1.p01	aminoglycoside__AAC(6')-Ib3	aminoglycoside
AF231133.1.gene2.p01	aminoglycoside__AAC(6')-Ib4	aminoglycoside
AAK51920	aminoglycoside__AAC(6')-Ib7	aminoglycoside
AAT70791	aminoglycoside__AAC(6')-Ib7	aminoglycoside
ABG77519	aminoglycoside__AAC(6')-Ib7	aminoglycoside
AF479774.1.gene5.p01	aminoglycoside__AAC(6')-Ib7	aminoglycoside
NP_863005	aminoglycoside__AAC(6')-Ib7	aminoglycoside
YP_002791392	aminoglycoside__AAC(6')-Ib7	aminoglycoside
gb|AKN19287.1|ARO:3002578|AAC(6')-Ib7	aminoglycoside__AAC(6')-Ib7	aminoglycoside
gb|AIK02012.1|ARO:3002579|AAC(6')-Ib8	aminoglycoside__AAC(6')-Ib8	aminoglycoside
AB715422.1.gene3.p01	aminoglycoside__AAC(6')-Ib9	aminoglycoside
AF043381.1.gene2.p01	aminoglycoside__AAC(6')-Ib9	aminoglycoside
DQ303918.1.gene1.p01	aminoglycoside__AAC(6')-Ib-cr	aminoglycoside
FJ503047.1.gene1.p01	aminoglycoside__AAC(6')-Ib-Hangzhou	aminoglycoside
AB164230.1.gene1.p01	aminoglycoside__AAC(6')-Ib-SK	aminoglycoside
EU085533.1.gene1.p01	aminoglycoside__AAC(6')-Ib-Suzhou	aminoglycoside
M94066.1.gene1.p01	aminoglycoside__AAC(6')-Ic	aminoglycoside
BAH18719	aminoglycoside__AAC(6')-Ie-APH(2'')-Ia	aminoglycoside
CAD60196	aminoglycoside__AAC(6')-Ie-APH(2'')-Ia	aminoglycoside
gb|AAA88548.1|ARO:3002597|AAC(6')-Ie-APH(2'')-Ia	aminoglycoside__AAC(6')-Ie-APH(2'')-Ia	aminoglycoside
X55353.1.gene1.p01	aminoglycoside__AAC(6')-If	aminoglycoside
ZP_03822933	aminoglycoside__AAC(6')-Ig	aminoglycoside
L09246.1.gene1.p01	aminoglycoside__AAC(6')-Ig	aminoglycoside
L29044.1.gene1.p01	aminoglycoside__AAC(6')-Ih	aminoglycoside
L12710.gene.p01	aminoglycoside__AAC(6')-Ii	aminoglycoside
M29695.1.gene2.p01	aminoglycoside__AAC(6')-IIa	aminoglycoside
gi|638916062|ref|WP_024437054.1|	aminoglycoside__AAC(6')-IIa	aminoglycoside
gi|959843707|ref|WP_058131000.1|	aminoglycoside__AAC(6')-IIa	aminoglycoside
gi|959846751|ref|WP_058132760.1|	aminoglycoside__AAC(6')-IIa	aminoglycoside
L06163.1.gene1.p01	aminoglycoside__AAC(6')-IIb	aminoglycoside
AF162771.1.gene2.p01	aminoglycoside__AAC(6')-IIc	aminoglycoside
AJ584700.2.gene1.p01	aminoglycoside__AAC(6')-Iid	aminoglycoside
AJ584701.2.gene1.p01	aminoglycoside__AAC(6')-Iih	aminoglycoside
L29045.1.gene1.p01	aminoglycoside__AAC(6')-Ij	aminoglycoside
L29510.1.gene1.p01	aminoglycoside__AAC(6')-Ik	aminoglycoside
gb|AAA90937.1|ARO:3004635|AAC(6')-Il	aminoglycoside__AAC(6')-Il	aminoglycoside
AF337947.1.gene2.p01	aminoglycoside__AAC(6')-Im	aminoglycoside
Z54241.1.gene2.p01	aminoglycoside__AAC(6')-Ip	aminoglycoside
AF047556.1.gene1.p01	aminoglycoside__AAC(6')-Iq	aminoglycoside
AF031326.1.gene1.p1	aminoglycoside__AAC(6')-Ir	aminoglycoside
AF031327.1.gene1.p1	aminoglycoside__AAC(6')-Is	aminoglycoside
AB116646.1.gene1.p01	aminoglycoside__AAC(6')-Isa	aminoglycoside
AF031328.1.gene1.p1	aminoglycoside__AAC(6')-It	aminoglycoside
AF031329.1.gene1.p1	aminoglycoside__AAC(6')-Iu	aminoglycoside
AF031330.1.gene1.p1	aminoglycoside__AAC(6')-Iv	aminoglycoside
AF031331.1.gene1.p1	aminoglycoside__AAC(6')-Iw	aminoglycoside
AF031332.1.gene1.p1	aminoglycoside__AAC(6')-Ix	aminoglycoside
AF144880.1.gene1.p01	aminoglycoside__AAC(6')-Iy	aminoglycoside
AF140221.1.gene1.p1	aminoglycoside__AAC(6')-Iz	aminoglycoside
gb|AEA07977.1|ARO:3004641|aacA43	aminoglycoside__aacA43	aminoglycoside
AY712687.1.gene1.p01	aminoglycoside__aad(6)	aminoglycoside
AJ489618.1.orf2.gene.p01	aminoglycoside__aad(6)	aminoglycoside
AM410044.gene9.p01	aminoglycoside__aad(6)	aminoglycoside
NC_006663.1.orf0.gene.p01	aminoglycoside__aad(6)	aminoglycoside
AB104852.1.gene4.p01	aminoglycoside__aadA	aminoglycoside
ABF67771	aminoglycoside__aadA	aminoglycoside
ABO42050	aminoglycoside__aadA	aminoglycoside
AF205943.1.gene15.p01	aminoglycoside__aadA	aminoglycoside
AJ567827.1.gene1.p01	aminoglycoside__aadA	aminoglycoside
BAA78801	aminoglycoside__aadA	aminoglycoside
gi|22094843|gb|AAM92010.1|AF527485_2	aminoglycoside__aadA	aminoglycoside
gi|223886324|gb|ACN22617.1|	aminoglycoside__aadA	aminoglycoside
gi|223886328|gb|ACN22620.1|	aminoglycoside__aadA	aminoglycoside
gi|241992581|gb|ACS73641.1|	aminoglycoside__aadA	aminoglycoside
gi|305670809|gb|ADM62671.1|	aminoglycoside__aadA	aminoglycoside
gi|38231197|gb|AAR14532.1|	aminoglycoside__aadA	aminoglycoside
gi|447129061|ref|WP_001206317.1|	aminoglycoside__aadA	aminoglycoside
gi|502187851|ref|WP_012728223.1|	aminoglycoside__aadA	aminoglycoside
gi|504871867|ref|WP_015058969.1|	aminoglycoside__aadA	aminoglycoside
gi|53794413|gb|AAU93764.1|	aminoglycoside__aadA	aminoglycoside
gi|58759041|gb|AAW81957.1|	aminoglycoside__aadA	aminoglycoside
gi|62736928|gb|AAX97756.1|	aminoglycoside__aadA	aminoglycoside
YP_001144148	aminoglycoside__aadA	aminoglycoside
YP_002894485	aminoglycoside__aadA	aminoglycoside
ZP_01974653	aminoglycoside__aadA	aminoglycoside
ZP_03028124	aminoglycoside__aadA	aminoglycoside
ZP_03063004	aminoglycoside__aadA	aminoglycoside
gb|AAL36430.1|ARO:3004692|aadA10	aminoglycoside__aadA10	aminoglycoside
AY758206.1.gene5.p01	aminoglycoside__aadA11	aminoglycoside
FJ381668.1.gene1.p01	aminoglycoside__aadA12	aminoglycoside
gb|ABW91178.1|ARO:3002613|aadA13	aminoglycoside__aadA13	aminoglycoside
AJ884726.1.gene1.p01	aminoglycoside__aadA14	aminoglycoside
DQ393783.1.gene4.p01	aminoglycoside__aadA15	aminoglycoside
EU675686.2.gene5.p01	aminoglycoside__aadA16	aminoglycoside
FJ460181.2.gene3.p01	aminoglycoside__aadA17	aminoglycoside
KJ363320.1.gene3.p01	aminoglycoside__aadA2	aminoglycoside
AY171244.1.gene1.p01	aminoglycoside__aadA21	aminoglycoside
AM261837.1.gene1.p01	aminoglycoside__aadA22	aminoglycoside
AJ809407.1.gene1.p01	aminoglycoside__aadA23	aminoglycoside
DQ677333.1.gene1.p01	aminoglycoside__aadA24	aminoglycoside
gb|AET15272.1|ARO:3003197|aadA25	aminoglycoside__aadA25	aminoglycoside
gb|CTQ57092.1|ARO:3004682|aadA27	aminoglycoside__aadA27	aminoglycoside
AF047479.2.gene10.p01	aminoglycoside__aadA3	aminoglycoside
AY138986.1.gene1.p01	aminoglycoside__aadA4	aminoglycoside
NC_010558.1.6275994.p01	aminoglycoside__aadA5	aminoglycoside
AM087411.1.gene3.p01	aminoglycoside__aadA6	aminoglycoside
AM087405.1.gene3.p01	aminoglycoside__aadA6/aadA10	aminoglycoside
AB114632.1.gene2.p01	aminoglycoside__aadA7	aminoglycoside
AY139603.1.gene1.p01	aminoglycoside__aadA8	aminoglycoside
gb|CAJ13568.1|ARO:3004704|aadA8b	aminoglycoside__aadA8b	aminoglycoside
gb|ABG49324.1|ARO:3002609|aadA9	aminoglycoside__aadA9	aminoglycoside
M26879.gene.p01	aminoglycoside__aadK	aminoglycoside
gi|1021323235|ref|WP_063335491.1|	aminoglycoside__aadK	aminoglycoside
gi|1036102393|ref|WP_064671003.1|	aminoglycoside__aadK	aminoglycoside
gi|1039476118|ref|WP_064814315.1|	aminoglycoside__aadK	aminoglycoside
gi|504290343|ref|WP_014477445.1|	aminoglycoside__aadK	aminoglycoside
gi|504293267|ref|WP_014480369.1|	aminoglycoside__aadK	aminoglycoside
gi|504477632|ref|WP_014664734.1|	aminoglycoside__aadK	aminoglycoside
gi|505064509|ref|WP_015251611.1|	aminoglycoside__aadK	aminoglycoside
gi|505197081|ref|WP_015384183.1|	aminoglycoside__aadK	aminoglycoside
gi|505913051|ref|WP_015714371.1|	aminoglycoside__aadK	aminoglycoside
gi|516292737|ref|WP_017696044.1|	aminoglycoside__aadK	aminoglycoside
gi|518542328|ref|WP_019712535.1|	aminoglycoside__aadK	aminoglycoside
gi|545117546|ref|WP_021480175.1|	aminoglycoside__aadK	aminoglycoside
gi|639241482|ref|WP_024571810.1|	aminoglycoside__aadK	aminoglycoside
gi|639659608|ref|WP_024714945.1|	aminoglycoside__aadK	aminoglycoside
gi|657203716|ref|WP_029318148.1|	aminoglycoside__aadK	aminoglycoside
gi|658532949|ref|WP_029727170.1|	aminoglycoside__aadK	aminoglycoside
gi|695808225|ref|WP_032722230.1|	aminoglycoside__aadK	aminoglycoside
gi|695812370|ref|WP_032726253.1|	aminoglycoside__aadK	aminoglycoside
gi|727790979|ref|WP_033885128.1|	aminoglycoside__aadK	aminoglycoside
gi|740643923|ref|WP_038429371.1|	aminoglycoside__aadK	aminoglycoside
gi|749035552|ref|WP_040082373.1|	aminoglycoside__aadK	aminoglycoside
gi|751585223|ref|WP_041053663.1|	aminoglycoside__aadK	aminoglycoside
gi|752685555|ref|WP_041333494.1|	aminoglycoside__aadK	aminoglycoside
gi|754290639|ref|WP_041850110.1|	aminoglycoside__aadK	aminoglycoside
gi|760320840|ref|WP_043856858.1|	aminoglycoside__aadK	aminoglycoside
gi|764608193|ref|WP_044428795.1|	aminoglycoside__aadK	aminoglycoside
gi|814576192|ref|WP_046381214.1|	aminoglycoside__aadK	aminoglycoside
gi|827043802|ref|WP_047182932.1|	aminoglycoside__aadK	aminoglycoside
gi|896112410|ref|WP_049141107.1|	aminoglycoside__aadK	aminoglycoside
gb|AAA27459.1|ARO:3004683|aadS	aminoglycoside__aadS	aminoglycoside
ACA48663	aminoglycoside__ANT(2'')-Ia	aminoglycoside
CAG34229	aminoglycoside__ANT(2'')-Ia	aminoglycoside
gi|499186167|ref|WP_010883707.1|	aminoglycoside__ANT(2'')-Ia	aminoglycoside
X04555.1.orf0.gene.p01	aminoglycoside__ANT(2'')-Ia	aminoglycoside
YP_001338814	aminoglycoside__ANT(2'')-Ia	aminoglycoside
AF205943.1.gene7.p01	aminoglycoside__ANT(2'')-Ia	aminoglycoside
X02340.1.orf0.gene.p01	aminoglycoside__ANT(3'')-IIa	aminoglycoside
AAL51021	aminoglycoside__ANT(3'')-Ii-AAC(6')-IId fusion protein	aminoglycoside
AAU89126	aminoglycoside__ANT(3'')-Ii-AAC(6')-IId fusion protein	aminoglycoside
AF453998.2.gene4.p01	aminoglycoside__ANT(3'')-Ii-AAC(6')-IId fusion protein	aminoglycoside
gb|ENU91137|ARO:3004090|ANT(3'')-IIb	aminoglycoside__ANT(3'')-IIb	aminoglycoside
gb|ENU37733|ARO:3004091|ANT(3'')-IIc	aminoglycoside__ANT(3'')-IIc	aminoglycoside
EF540343.1.gene1.p01	aminoglycoside__ANT(4')-Ia	aminoglycoside
gi|1027664803|ref|WP_063609470.1|	aminoglycoside__ANT(4')-Ia	aminoglycoside
AAA92254	aminoglycoside__ANT(4')-Ib	aminoglycoside
ACC96132	aminoglycoside__ANT(4')-Ib	aminoglycoside
BAA06245	aminoglycoside__ANT(4')-Ib	aminoglycoside
BAC98411	aminoglycoside__ANT(4')-Ib	aminoglycoside
gi|486213268|ref|WP_001555819.1|	aminoglycoside__ANT(4')-Ib	aminoglycoside
gi|487729826|ref|WP_001814058.1|	aminoglycoside__ANT(4')-Ib	aminoglycoside
gi|909706753|ref|WP_049949954.1|	aminoglycoside__ANT(4')-Ib	aminoglycoside
NP_863621	aminoglycoside__ANT(4')-Ib	aminoglycoside
BAC00986	aminoglycoside__ANT(4')-Ib	aminoglycoside
M98270.1.orf0.gene.p01	aminoglycoside__ANT(4')-IIa	aminoglycoside
AY114142.1.gene1.p01	aminoglycoside__ANT(4')-IIb	aminoglycoside
gi|486458841|gb|EOE03251.1|	aminoglycoside__ANT(6)-Ia	aminoglycoside
gi|994929255|emb|CZA27509.1|	aminoglycoside__ANT(6)-Ia	aminoglycoside
JQ861959.1.gene5.p01	aminoglycoside__ANT(6)-Ia	aminoglycoside
FN594949.1.gene25.p01	aminoglycoside__ANT(6)-Ib	aminoglycoside
AAX54909	aminoglycoside__ANT(9)-Ia	aminoglycoside
Q07448	aminoglycoside__ANT(9)-Ia	aminoglycoside
AY939911.1.gene1.p01	aminoglycoside__APH(2'')-Ie	aminoglycoside
gb|AAW34150.1|ARO:3004191|APH(2'')-If	aminoglycoside__APH(2'')-If	aminoglycoside
CP004067.1.gene46.p01	aminoglycoside__APH(2'')-Ig	aminoglycoside
AF207840.gene.p01	aminoglycoside__APH(2'')-IIa	aminoglycoside
AF337947.1.gene1.p01	aminoglycoside__APH(2'')-IIa	aminoglycoside
U51479.gene.p01	aminoglycoside__APH(2'')-IIIa	aminoglycoside
AF016483.gene.p01	aminoglycoside__APH(2'')-IVa	aminoglycoside
AAA88337	aminoglycoside__APH(3')-Ia	aminoglycoside
AAB34257	aminoglycoside__APH(3')-Ia	aminoglycoside
ACA35067	aminoglycoside__APH(3')-Ia	aminoglycoside
ACD76089	aminoglycoside__APH(3')-Ia	aminoglycoside
BAA08271	aminoglycoside__APH(3')-Ia	aminoglycoside
BAB93733	aminoglycoside__APH(3')-Ia	aminoglycoside
gi|11991641|gb|AAG42313.1|AF306519_1	aminoglycoside__APH(3')-Ia	aminoglycoside
Q03447	aminoglycoside__APH(3')-Ia	aminoglycoside
XP_001893601	aminoglycoside__APH(3')-Ia	aminoglycoside
XP_001914640	aminoglycoside__APH(3')-Ia	aminoglycoside
YP_001966537	aminoglycoside__APH(3')-Ia	aminoglycoside
YP_002791441	aminoglycoside__APH(3')-Ia	aminoglycoside
AF024666.2.gene42.p01	aminoglycoside__APH(3')-Ia	aminoglycoside
AAA26700	aminoglycoside__APH(3'')-Ia	aminoglycoside
BAG17078	aminoglycoside__APH(3'')-Ia	aminoglycoside
X53527.1.gene1.p1	aminoglycoside__APH(3'')-Ia	aminoglycoside
CAJ85716	aminoglycoside__APH(3')-Ib	aminoglycoside
YP_112402	aminoglycoside__APH(3')-Ib	aminoglycoside
M20305.1.gene1.p1	aminoglycoside__APH(3')-Ib	aminoglycoside
DQ464881.1.gene4.p01	aminoglycoside__APH(3'')-Ib	aminoglycoside
AF313472.2.gene15.p01	aminoglycoside__APH(3'')-Ib	aminoglycoside
DQ336355.1.gene5.p01	aminoglycoside__APH(3'')-Ic	aminoglycoside
gb|CAA23892.1|ARO:3002644|APH(3')-IIa	aminoglycoside__APH(3')-IIa	aminoglycoside
X90856.1.gene1.p01	aminoglycoside__APH(3')-IIb	aminoglycoside
gi|489184003|ref|WP_003093441.1|	aminoglycoside__APH(3')-IIb	aminoglycoside
gi|489191922|ref|WP_003101274.1|	aminoglycoside__APH(3')-IIb	aminoglycoside
gi|489203925|ref|WP_003113011.1|	aminoglycoside__APH(3')-IIb	aminoglycoside
HQ424460.1.gene1.p01	aminoglycoside__APH(3')-IIc	aminoglycoside
AAK62562	aminoglycoside__APH(3')-IIIa	aminoglycoside
BAE98117	aminoglycoside__APH(3')-IIIa	aminoglycoside
CAD36021	aminoglycoside__APH(3')-IIIa	aminoglycoside
P0A3Y6	aminoglycoside__APH(3')-IIIa	aminoglycoside
YP_424819	aminoglycoside__APH(3')-IIIa	aminoglycoside
CAA67773	aminoglycoside__APH(3')-IIIa	aminoglycoside
0910185A	aminoglycoside__APH(3')-IVa	aminoglycoside
P00553	aminoglycoside__APH(3')-IVa	aminoglycoside
gb|ENV34035|ARO:3004087|APH(3')-IX	aminoglycoside__APH(3')-IX	aminoglycoside
BAD95814	aminoglycoside__APH(3')-Va	aminoglycoside
K00432.1.gene1.p1	aminoglycoside__APH(3')-Va	aminoglycoside
M22126.1.gene1.p01	aminoglycoside__APH(3')-Vb	aminoglycoside
S81599.1.gene1.p01	aminoglycoside__APH(3')-Vc	aminoglycoside
gb|AGI04227.1|ARO:3003687|APH(3')-VI	aminoglycoside__APH(3')-VI	aminoglycoside
X07753.1.gene1.p1	aminoglycoside__APH(3')-VIa	aminoglycoside
M29953.1.gene1.p1	aminoglycoside__APH(3')-VIIa	aminoglycoside
gb|AAG11411.2|ARO:3004680|APH(3')-VIIIa	aminoglycoside__APH(3')-VIIIa	aminoglycoside
gb|EPF73263|ARO:3004086|APH(3')-VIII	aminoglycoside__APH(3')-VIIIb	aminoglycoside
V01499.1.gene1.p1	aminoglycoside__APH(4)-Ia	aminoglycoside
gb|CAA52372.1|ARO:3002656|APH(4)-Ib	aminoglycoside__APH(4)-Ib	aminoglycoside
CAH94334	aminoglycoside__APH(6)-Ia	aminoglycoside
gi|516771669|ref|WP_018093204.1|	aminoglycoside__APH(6)-Ia	aminoglycoside
gi|664170275|ref|WP_030704520.1|	aminoglycoside__APH(6)-Ia	aminoglycoside
Y00459.1.gene3.p01	aminoglycoside__APH(6)-Ia	aminoglycoside
X05648.1.gene2.p1	aminoglycoside__APH(6)-Ib	aminoglycoside
AAB00446	aminoglycoside__APH(6)-Ic	aminoglycoside
X01702.1.gene3.p1	aminoglycoside__APH(6)-Ic	aminoglycoside
ACH85850	aminoglycoside__APH(6)-Id	aminoglycoside
AY463797.7.gene32.p01	aminoglycoside__APH(6)-Id	aminoglycoside
BAC79067	aminoglycoside__APH(6)-Id	aminoglycoside
CAC86407	aminoglycoside__APH(6)-Id	aminoglycoside
CAJ77026	aminoglycoside__APH(6)-Id	aminoglycoside
CAM88415	aminoglycoside__APH(6)-Id	aminoglycoside
CAQ86961	aminoglycoside__APH(6)-Id	aminoglycoside
gi|446403108|ref|WP_000480963.1|	aminoglycoside__APH(6)-Id	aminoglycoside
gi|446403118|ref|WP_000480973.1|	aminoglycoside__APH(6)-Id	aminoglycoside
gi|485948152|ref|WP_001495812.1|	aminoglycoside__APH(6)-Id	aminoglycoside
gi|487675610|ref|WP_001760685.1|	aminoglycoside__APH(6)-Id	aminoglycoside
gi|502788876|ref|WP_013023852.1|	aminoglycoside__APH(6)-Id	aminoglycoside
gi|503028807|ref|WP_013263783.1|	aminoglycoside__APH(6)-Id	aminoglycoside
gi|515121467|ref|WP_016750414.1|	aminoglycoside__APH(6)-Id	aminoglycoside
gi|515967030|ref|WP_017397613.1|	aminoglycoside__APH(6)-Id	aminoglycoside
gi|545272242|ref|WP_021561466.1|	aminoglycoside__APH(6)-Id	aminoglycoside
gi|582967196|ref|WP_024139657.1|	aminoglycoside__APH(6)-Id	aminoglycoside
gi|585329456|ref|WP_024211122.1|	aminoglycoside__APH(6)-Id	aminoglycoside
gi|585368369|ref|WP_024249947.1|	aminoglycoside__APH(6)-Id	aminoglycoside
gi|691150292|ref|WP_032062476.1|	aminoglycoside__APH(6)-Id	aminoglycoside
gi|749197708|ref|WP_040110386.1|	aminoglycoside__APH(6)-Id	aminoglycoside
gi|749618737|ref|WP_040235334.1|	aminoglycoside__APH(6)-Id	aminoglycoside
gi|751908677|ref|WP_041124075.1|	aminoglycoside__APH(6)-Id	aminoglycoside
gi|754690915|ref|WP_042068827.1|	aminoglycoside__APH(6)-Id	aminoglycoside
