Tag	SARG.Seq.ID	Type	Subtype	HMM.category	Mechanism.group	Mechanism.subgroup	Mechanism.subgroup2	SARG3.0_F	SARG3.0_L	SARG3.0_S
two-component system	YP_001477378	polymyxin	polymyxin__rosA	rosA	Efflux pump			Yes	Yes	Yes
two-component system	YP_001605796	polymyxin	polymyxin__rosA	rosA	Efflux pump			Yes	Yes	Yes
two-component system	YP_001871501	polymyxin	polymyxin__rosA	rosA	Efflux pump			Yes	Yes	Yes
two-component system	ZP_04612558	polymyxin	polymyxin__rosA	rosA	Efflux pump			Yes	Yes	Yes
two-component system	ZP_04621517	polymyxin	polymyxin__rosA	rosA	Efflux pump			Yes	Yes	Yes
two-component system	ZP_04623896	polymyxin	polymyxin__rosA	rosA	Efflux pump			Yes	Yes	Yes
two-component system	ZP_04631862	polymyxin	polymyxin__rosA	rosA	Efflux pump			Yes	Yes	Yes
two-component system	ZP_04638972	polymyxin	polymyxin__rosA	rosA	Efflux pump			Yes	Yes	Yes
two-component system	AAS61092	polymyxin	polymyxin__rosB	rosB	Efflux pump			Yes	Yes	Yes
two-component system	gi|1001786599|ref|WP_061324791.1|	polymyxin	polymyxin__rosB	rosB	Efflux pump			Yes	Yes	Yes
two-component system	gi|318604694|emb|CBY26192.1|	polymyxin	polymyxin__rosB	rosB	Efflux pump			Yes	Yes	Yes
two-component system	gi|544012122|gb|ERK10884.1|	polymyxin	polymyxin__rosB	rosB	Efflux pump			Yes	Yes	Yes
two-component system	gi|740410309|ref|WP_038243756.1|	polymyxin	polymyxin__rosB	rosB	Efflux pump			Yes	Yes	Yes
two-component system	gi|896190680|ref|WP_049199932.1|	polymyxin	polymyxin__rosB	rosB	Efflux pump			Yes	Yes	Yes
two-component system	YP_001007250	polymyxin	polymyxin__rosB	rosB	Efflux pump			Yes	Yes	Yes
two-component system	YP_001401994	polymyxin	polymyxin__rosB	rosB	Efflux pump			Yes	Yes	Yes
two-component system	YP_001477377	polymyxin	polymyxin__rosB	rosB	Efflux pump			Yes	Yes	Yes
two-component system	YP_001605795	polymyxin	polymyxin__rosB	rosB	Efflux pump			Yes	Yes	Yes
two-component system	ZP_04612557	polymyxin	polymyxin__rosB	rosB	Efflux pump			Yes	Yes	Yes
two-component system	ZP_04615639	polymyxin	polymyxin__rosB	rosB	Efflux pump			Yes	Yes	Yes
two-component system	ZP_04623897	polymyxin	polymyxin__rosB	rosB	Efflux pump			Yes	Yes	Yes
two-component system	ZP_04630103	polymyxin	polymyxin__rosB	rosB	Efflux pump			Yes	Yes	Yes
two-component system	ZP_04631861	polymyxin	polymyxin__rosB	rosB	Efflux pump			Yes	Yes	Yes
two-component system	ZP_04635128	polymyxin	polymyxin__rosB	rosB	Efflux pump			Yes	Yes	Yes
two-component system	ZP_04638974	polymyxin	polymyxin__rosB	rosB	Efflux pump			Yes	Yes	Yes
two-component system	AAC60781	polymyxin	polymyxin__rosA	rosA	Efflux pump			Yes	Yes	Yes
two-component system	AAC60780	polymyxin	polymyxin__rosB	rosB	Efflux pump			Yes	Yes	Yes
two-component system	gb|AET10444.1|ARO:3004032|tetA(46)	tetracycline	tetracycline__tetA(46)	tetA(46)	Efflux pump			Yes	Yes	Yes
two-component system	gb|ANZ79240.1|ARO:3004035|tetA(60)	tetracycline	tetracycline__tetA(60)	tetA(60)	Efflux pump			Yes	Yes	Yes
two-component system	gb|AET10445.1|ARO:3004033|tetB(46)	tetracycline	tetracycline__tetB(46)	tetB(46)	Efflux pump			Yes	Yes	Yes
two-component system	gb|ANZ79241.1|ARO:3004036|tetB(60)	tetracycline	tetracycline__tetB(60)	tetB(60)	Efflux pump			Yes	Yes	Yes
