Seq.ID	Subtype	Type
gi|489191922|ref|WP_003101274.1|	APH(3')-IIb	aminoglycoside
gi|489203925|ref|WP_003113011.1|	APH(3')-IIb	aminoglycoside
HQ424460.1.gene1.p01	APH(3')-IIc	aminoglycoside
AAK62562	APH(3')-IIIa	aminoglycoside
BAE98117	APH(3')-IIIa	aminoglycoside
CAD36021	APH(3')-IIIa	aminoglycoside
P0A3Y6	APH(3')-IIIa	aminoglycoside
YP_424819	APH(3')-IIIa	aminoglycoside
CAA67773	APH(3')-IIIa	aminoglycoside
0910185A	APH(3')-IVa	aminoglycoside
P00553	APH(3')-IVa	aminoglycoside
gb|ENV34035|ARO:3004087|APH(3')-IX	APH(3')-IX	aminoglycoside
BAD95814	APH(3')-Va	aminoglycoside
K00432.1.gene1.p1	APH(3')-Va	aminoglycoside
M22126.1.gene1.p01	APH(3')-Vb	aminoglycoside
S81599.1.gene1.p01	APH(3')-Vc	aminoglycoside
gb|AGI04227.1|ARO:3003687|APH(3')-VI	APH(3')-VI	aminoglycoside
X07753.1.gene1.p1	APH(3')-VIa	aminoglycoside
M29953.1.gene1.p1	APH(3')-VIIa	aminoglycoside
gb|AAG11411.2|ARO:3004680|APH(3')-VIIIa	APH(3')-VIIIa	aminoglycoside
gb|EPF73263|ARO:3004086|APH(3')-VIII	APH(3')-VIIIb	aminoglycoside
V01499.1.gene1.p1	APH(4)-Ia	aminoglycoside
gb|CAA52372.1|ARO:3002656|APH(4)-Ib	APH(4)-Ib	aminoglycoside
CAH94334	APH(6)-Ia	aminoglycoside
gi|516771669|ref|WP_018093204.1|	APH(6)-Ia	aminoglycoside
gi|664170275|ref|WP_030704520.1|	APH(6)-Ia	aminoglycoside
Y00459.1.gene3.p01	APH(6)-Ia	aminoglycoside
X05648.1.gene2.p1	APH(6)-Ib	aminoglycoside
AAB00446	APH(6)-Ic	aminoglycoside
X01702.1.gene3.p1	APH(6)-Ic	aminoglycoside
ACH85850	APH(6)-Id	aminoglycoside
AY463797.7.gene32.p01	APH(6)-Id	aminoglycoside
BAC79067	APH(6)-Id	aminoglycoside
CAC86407	APH(6)-Id	aminoglycoside
CAJ77026	APH(6)-Id	aminoglycoside
CAM88415	APH(6)-Id	aminoglycoside
CAQ86961	APH(6)-Id	aminoglycoside
gi|446403108|ref|WP_000480963.1|	APH(6)-Id	aminoglycoside
gi|446403118|ref|WP_000480973.1|	APH(6)-Id	aminoglycoside
gi|485948152|ref|WP_001495812.1|	APH(6)-Id	aminoglycoside
gi|487675610|ref|WP_001760685.1|	APH(6)-Id	aminoglycoside
gi|502788876|ref|WP_013023852.1|	APH(6)-Id	aminoglycoside
gi|503028807|ref|WP_013263783.1|	APH(6)-Id	aminoglycoside
gi|515121467|ref|WP_016750414.1|	APH(6)-Id	aminoglycoside
gi|515967030|ref|WP_017397613.1|	APH(6)-Id	aminoglycoside
gi|545272242|ref|WP_021561466.1|	APH(6)-Id	aminoglycoside
gi|582967196|ref|WP_024139657.1|	APH(6)-Id	aminoglycoside
gi|585329456|ref|WP_024211122.1|	APH(6)-Id	aminoglycoside
gi|585368369|ref|WP_024249947.1|	APH(6)-Id	aminoglycoside
gi|691150292|ref|WP_032062476.1|	APH(6)-Id	aminoglycoside
gi|749197708|ref|WP_040110386.1|	APH(6)-Id	aminoglycoside
gi|749618737|ref|WP_040235334.1|	APH(6)-Id	aminoglycoside
gi|751908677|ref|WP_041124075.1|	APH(6)-Id	aminoglycoside
gi|754690915|ref|WP_042068827.1|	APH(6)-Id	aminoglycoside
gi|764403576|ref|WP_044352039.1|	APH(6)-Id	aminoglycoside
gi|798852310|ref|WP_045893453.1|	APH(6)-Id	aminoglycoside
gi|802115701|ref|WP_046033939.1|	APH(6)-Id	aminoglycoside
gi|806464297|ref|WP_046127528.1|	APH(6)-Id	aminoglycoside
gi|896184689|ref|WP_049195390.1|	APH(6)-Id	aminoglycoside
gi|896427044|ref|WP_049361039.1|	APH(6)-Id	aminoglycoside
gi|914349733|ref|WP_050583593.1|	APH(6)-Id	aminoglycoside
gi|920668789|ref|WP_053044741.1|	APH(6)-Id	aminoglycoside
gi|921973852|ref|WP_053266543.1|	APH(6)-Id	aminoglycoside
gi|929918689|ref|WP_054103864.1|	APH(6)-Id	aminoglycoside
gi|935552845|ref|WP_054445898.1|	APH(6)-Id	aminoglycoside
gi|935620109|ref|WP_054474145.1|	APH(6)-Id	aminoglycoside
gi|949697184|ref|WP_057056221.1|	APH(6)-Id	aminoglycoside
gi|949803033|ref|WP_057109591.1|	APH(6)-Id	aminoglycoside
gi|950150321|ref|WP_057202378.1|	APH(6)-Id	aminoglycoside
gi|959900591|ref|WP_058167554.1|	APH(6)-Id	aminoglycoside
NP_955645	APH(6)-Id	aminoglycoside
YP_001101924	APH(6)-Id	aminoglycoside
YP_001740011	APH(6)-Id	aminoglycoside
ZP_04405450	APH(6)-Id	aminoglycoside
AF024602.1.gene6.p01	APH(6)-Id	aminoglycoside
X03615.1.gene1.p1	APH(7'')-Ia	aminoglycoside
gb|AAB58447.1|ARO:3002662|APH(9)-Ia	APH(9)-Ia	aminoglycoside
U70376.2.gene7.p01	APH(9)-Ib	aminoglycoside
gb|CAD91341.1|ARO:3004675|aphA15	aphA15	aminoglycoside
gb|CBL58181.1|ARO:3003918|apmA	apmA	aminoglycoside
gb|APB03224.1|ARO:3003994|cpaA	cpaA	aminoglycoside
KC895984.1.gene2.p01	spd	aminoglycoside
gi|219563184|gb|ACL27951.1|	armA	aminoglycoside
HQ451074.1.gene23.p01	armA	aminoglycoside
gb|WP_063964000.1|ARO:3004102|kamB	kamB	aminoglycoside
AB261016.1.gene1.p01	npmA	aminoglycoside
AB083212.gene.p01	rmtA	aminoglycoside
NC_010558.1.6275958.p01	rmtB	aminoglycoside
GQ131574.1.gene1.p01	rmtC	aminoglycoside
gi|949697262|ref|WP_057056299.1|	rmtC	aminoglycoside
EU269034.2.gene4.p01	rmtD	aminoglycoside
gb|ADW66527.1|ARO:3004677|rmtD2	rmtD2	aminoglycoside
gb|ADA63498.1|ARO:3004678|rmtE	rmtE	aminoglycoside
gb|ALD03565.1|ARO:3004679|rmtE2	rmtE2	aminoglycoside
JQ808129.1.gene2.p01	rmtF	aminoglycoside
gi|1028098342|ref|WP_063854886.1|	rmtF	aminoglycoside
JX486113.1.gene1.p01	rmtG	aminoglycoside
gb|AGH19769.1|ARO:3003198|rmtH	rmtH	aminoglycoside
gb|WP_063978071.1|ARO:3000862|sgm	sgm	aminoglycoside
AAT34976	Other streptomycin resistance protein	aminoglycoside
CAA63519	Other streptomycin resistance protein	aminoglycoside
P12055	Other streptomycin resistance protein	aminoglycoside
P42332	bcrA	bacitracin
AAD21213	bcrA	bacitracin
ABB80128	bcrA	bacitracin
gi|1043490477|ref|WP_065382463.1|	bcrA	bacitracin
gi|445996695|ref|WP_000074550.1|	bcrA	bacitracin
gi|445996696|ref|WP_000074551.1|	bcrA	bacitracin
gi|445996697|ref|WP_000074552.1|	bcrA	bacitracin
gi|445996698|ref|WP_000074553.1|	bcrA	bacitracin
gi|445996708|ref|WP_000074563.1|	bcrA	bacitracin
gi|445996709|ref|WP_000074564.1|	bcrA	bacitracin
gi|445996710|ref|WP_000074565.1|	bcrA	bacitracin
gi|445996714|ref|WP_000074569.1|	bcrA	bacitracin
gi|445996719|ref|WP_000074574.1|	bcrA	bacitracin
gi|445996722|ref|WP_000074577.1|	bcrA	bacitracin
gi|445996723|ref|WP_000074578.1|	bcrA	bacitracin
gi|445996724|ref|WP_000074579.1|	bcrA	bacitracin
gi|445996726|ref|WP_000074581.1|	bcrA	bacitracin
gi|445996729|ref|WP_000074584.1|	bcrA	bacitracin
gi|445996732|ref|WP_000074587.1|	bcrA	bacitracin
gi|446026113|ref|WP_000103968.1|	bcrA	bacitracin
gi|446110087|ref|WP_000187942.1|	bcrA	bacitracin
gi|447057509|ref|WP_001134765.1|	bcrA	bacitracin
gi|447057510|ref|WP_001134766.1|	bcrA	bacitracin
gi|447195835|ref|WP_001273091.1|	bcrA	bacitracin
gi|447195836|ref|WP_001273092.1|	bcrA	bacitracin
gi|487936534|ref|WP_002010000.1|	bcrA	bacitracin
gi|488042066|ref|WP_002113463.1|	bcrA	bacitracin
gi|488053456|ref|WP_002124853.1|	bcrA	bacitracin
gi|488067981|ref|WP_002139378.1|	bcrA	bacitracin
gi|488068784|ref|WP_002140181.1|	bcrA	bacitracin
gi|488120365|ref|WP_002191762.1|	bcrA	bacitracin
gi|488130770|ref|WP_002201978.1|	bcrA	bacitracin
gi|500194536|ref|WP_011867743.1|	bcrA	bacitracin
gi|500448961|gb|EOP61695.1|	bcrA	bacitracin
gi|500465078|gb|EOP76697.1|	bcrA	bacitracin
gi|507023808|ref|WP_016095885.1|	bcrA	bacitracin
gi|507035724|ref|WP_016107411.1|	bcrA	bacitracin
gi|507044560|ref|WP_016115614.1|	bcrA	bacitracin
gi|507050365|ref|WP_016121371.1|	bcrA	bacitracin
